"Ref";"id_10WEB.io";"PD#PN";"Post_Number_Calc";"Post_Number_plus_Fin-dex";"Post_Number_v1.0";"Fix";"Calc1";"Calc2";"Calc3";"Post_list!";"Main_Section?";"Surprise!";"Post?";"Tier?";"Fin-dex";"New_Ref";"TransMission";"Post_Name_English";"MS_Code_Number";"Main_Section_Title_for_Categorisation";"Nome_do_Post_Brasileirinho";"Temp_Notes";"Repetead?";"Rp_in";"Rp_out";"Where_the_Post_has_been_found?";"MainSection_Code";"Temp";"Server_Post_Path-2nd_Strip";"Server_Post_Path-1st_Strip";"Server_Post_Path-Complete_with_post_name";"Remarks";"URL"
491;;"IS.CC.004";"IS.CC.4";"478 - IS.CC.4";;;"IS";"CC";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;478;478;"VERDADEIRO";"Kāma Guṇa – Origin of Attachment (Tanhā)";;;;"P";"VERDADEIRO";;;"07 - Three Levels of Practice";"IS";1;"Home » Is There a “Self”? »";"Home » Is There a “Self”? »";"Home » Is There a “Self”? » Kāma Guṇa – Origin of Attachment (Tanhā)";;"https://puredhamma.net/is-there-a-self/kama-guna-origin-of-attachment-tanha/"
492;;"TL.II.013";"TL.II.13";"479 - TL.II.13";;;"TL";"II";13;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;479;479;"VERDADEIRO";"Saññā Nidānā hi Papañca Saṅkhā – Immoral Thoughts Based on “Distorted Saññā”";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Saññā Nidānā hi Papañca Saṅkhā – Immoral Thoughts Based on “Distorted Saññā”";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/sanna-nidana-hi-papanca-sa%e1%b9%85kha-immoral-thoughts-based-on-distorted-sanna/"
493;;"TL.II.014";"TL.II.14";"480 - TL.II.14";;;"TL";"II";14;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;480;480;"VERDADEIRO";"Kalahavivāda Sutta – Origin of Fights and Disputes";;;;"O";"FALSO";;;"07 - Three Levels of Practice";;0;"Home »";"Home »";"Home » Kalahavivāda Sutta – Origin of Fights and Disputes";;"https://puredhamma.net/kalahavivada-sutta-origin-of-fights-and-disputes/"
494;;"CH.AA.004";"CH.AA.4";"481 - CH.AA.4";;;"CH";"AA";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;481;481;"VERDADEIRO";"Anuseti – How Anusaya Grows with Saṅkhāra";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"CH";1;"Home » Buddhism – In Charts »";"Home » Buddhism – In Charts »";"Home » Buddhism – In Charts » Anuseti – How Anusaya Grows with Saṅkhāra";;"https://puredhamma.net/buddhism-in-charts/anuseti-how-anusaya-grows-with-sa%E1%B9%85khara/"
495;;"TL.JJ.001";"TL.JJ.1";"482 - TL.JJ.1";;;"TL";"JJ";1;"VERDADEIRO";"FALSO";"FALSO";"FALSO";;482;482;"VERDADEIRO";"Previous Posts";;;;"O";"FALSO";;;"07 - Three Levels of Practice";;0;;;;"Just post list… ";
496;;"TL.JJ.002";"TL.JJ.2";"483 - TL.JJ.2";;;"TL";"JJ";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;483;483;"VERDADEIRO";"Sakkāya Diṭṭhi – “Seeing the Unfruitful Nature of the World”";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";;0;"Home »";"Home »";"Home » Sakkāya Diṭṭhi – “Seeing the Unfruitful Nature of the World”";;"https://puredhamma.net/sakkaya-di%e1%b9%ad%e1%b9%adhi-seeing-the-unfruitful-nature-of-the-world/"
497;;"TL.JJ.003";"TL.JJ.3";"484 - TL.JJ.3";;;"TL";"JJ";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;484;484;"VERDADEIRO";"The Sōtapanna Stage";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » The Sōtapanna Stage";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/the-sotapanna-stage/"
498;;"TL.JJ.004";"TL.JJ.4";"485 - TL.JJ.4";;;"TL";"JJ";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;485;485;"VERDADEIRO";"Why a Sotāpanna is Better off than any King, Emperor, or a Billionaire";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Why a Sotāpanna is Better off than any King, Emperor, or a Billionaire";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/why-a-sotapanna-is-better-off-than-any-king-emperor-deva-or-brahma/"
499;;"TL.JJ.005";"TL.JJ.5";"486 - TL.JJ.5";;;"TL";"JJ";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;486;486;"VERDADEIRO";"Myths about the Sotāpanna Stage";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Myths about the Sotāpanna Stage";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/myths-about-the-sotapanna-stage/"
500;;"PS.AA.007";"PS.AA.7";"487 - PS.AA.7";;;"PS";"AA";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;487;487;"VERDADEIRO";"Paṭilōma Paṭicca Samuppāda – Key to Nibbāna";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"PS";1;"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda » Paṭilōma Paṭicca Samuppāda – Key to Nibbāna";;"https://puredhamma.net/paticca-samuppada/patiloma-paticca-samuppada/"
501;;"TL.JJ.006";"TL.JJ.6";"488 - TL.JJ.6";;;"TL";"JJ";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;488;488;"VERDADEIRO";"Sōtapanna Anugāmi and a Sōtapanna";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Sōtapanna Anugāmi and a Sōtapanna";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/sotapanna-anugami-and-sotapanna/"
502;;"TL.JJ.007";"TL.JJ.7";"489 - TL.JJ.7";;;"TL";"JJ";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;489;489;"VERDADEIRO";"Sōtapanna Anugāmi – No More Births in the Apāyās";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Sōtapanna Anugāmi – No More Births in the Apāyās";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/sotapanna-anugami-no-births-in-the-apaya/"
503;;"TL.JJ.008";"TL.JJ.8";"490 - TL.JJ.8";;;"TL";"JJ";8;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;490;490;"VERDADEIRO";"Four Conditions for Attaining Sōtapanna Magga/Phala";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Four Conditions for Attaining Sōtapanna Magga/Phala";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/four-conditions-for-attaining-sotapanna-magga-phala/"
504;;"TL.JJ.009";"TL.JJ.9";"491 - TL.JJ.9";;;"TL";"JJ";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;491;491;"VERDADEIRO";"Sotapatti Aṅga – The Four Qualities of a Sotāpanna";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Sotapatti Aṅga – The Four Qualities of a Sotāpanna";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/sotapatti-anga/"
505;;"TL.JJ.010";"TL.JJ.10";"492 - TL.JJ.10";;;"TL";"JJ";10;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;492;492;"VERDADEIRO";"Sammā Diṭṭhi – Realization, Not Memorization";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Sammā Diṭṭhi – Realization, Not Memorization";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/samma-ditthi-truth-realization/"
506;;"TL.KK.001";"TL.KK.1";"493 - TL.KK.1";;;"TL";"KK";1;"VERDADEIRO";"FALSO";"VERDADEIRO";"FALSO";1;493;493;"VERDADEIRO";"Assāda, Ādīnava, Nissarana";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/assada-adinava-nissarana/"
507;;"TL.KK.002";"TL.KK.2";"494 - TL.KK.2";;;"TL";"KK";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;494;494;"VERDADEIRO";"Assāda, Ādīnava, Nissarana – Introduction";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana » Assāda, Ādīnava, Nissarana – Introduction";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/assada-adinava-nissarana/assada-adinava-nissarana-introduction/"
508;;"TL.KK.003";"TL.KK.3";"495 - TL.KK.3";;;"TL";"KK";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;495;495;"VERDADEIRO";"How Perceived Pleasures (Assāda) lead to Dukkha";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana » How Perceived Pleasures (Assāda) lead to Dukkha";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/assada-adinava-nissarana/how-perceived-pleasures-assada-lead-to-dukkha/"
509;;"BA.AA.002";"BA.AA.2";"496 - BA.AA.2";;;"BA";"AA";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;496;496;"VERDADEIRO";"Kāma Rāga Dominates Rupa Rāga and Arupa Rāga";;;;"P";"VERDADEIRO";;;"07 - Three Levels of Practice";"BA";1;"Home » Buddha Dhamma – Advanced »";"Home » Buddha Dhamma – Advanced » Kāma Rāga Dominates Rupa Rāga and Arupa Rāga";"Home » Buddha Dhamma – Advanced » Kāma Rāga Dominates Rupa Rāga and Arupa Rāga";;"https://puredhamma.net/buddha-dhamma-advanced/kama-raga-dominates-rupa-raga-and-arupa-raga/"
510;;"TL.II.009";"TL.II.9";"497 - TL.II.9";;;"TL";"II";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;497;497;"VERDADEIRO";"Vedanā (Feelings) Arise in Two Ways";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Vedanā (Feelings) Arise in Two Ways";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/two-types-of-vedana-feelings/"
511;;"PS.KK.002";"PS.KK.2";"498 - PS.KK.2";;;"PS";"KK";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;498;498;"VERDADEIRO";"Feelings: Sukha, Dukha, Somanassa, and Domanassa";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"PS";1;"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda » Feelings: Sukha, Dukha, Somanassa, and Domanassa";;"https://puredhamma.net/paticca-samuppada/feelings-sukha-dukha-somanassa-and-domanassa/"
512;;"PS.BB.004";"PS.BB.4";"499 - PS.BB.4";;;"PS";"BB";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;499;499;"VERDADEIRO";"What is “Kāma”? It is not Just Sex";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"PS";1;"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda » Paṭicca Samuppāda – Essential Concepts »";"Home » Paṭicca Samuppāda » Paṭicca Samuppāda – Essential Concepts » What is “Kāma”? It is not Just Sex";;"https://puredhamma.net/paticca-samuppada/paticca-samuppada-essential-concepts/what-is-kama-it-is-not-sex/"
513;;"TL.KK.004";"TL.KK.4";"500 - TL.KK.4";;;"TL";"KK";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;500;500;"VERDADEIRO";"Kāma Assāda Start with Phassa Paccayā Vedanā or Samphassa-Jā-Vedana";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Assāda, Ādīnava, Nissarana » Kāma Assāda Start with Phassa Paccayā Vedanā or Samphassa-Jā-Vedana";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/assada-adinava-nissarana/kama-asvada-phassa-paccaya-vedana-samphassa-ja-vedana/"
514;;"..";"..";" - ..";;"F";;;;"FALSO";"FALSO";"FALSO";"FALSO";;;;"FALSO";"End of SubSection";;;;"FIX";"FALSO";;;"07 - Three Levels of Practice";;1;;;;;
515;;"TL.JJ.011";"TL.JJ.11";"501 - TL.JJ.11";;;"TL";"JJ";11;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;501;501;"VERDADEIRO";"How Does One Know whether the Sōtapanna Stage is Reached?";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » How Does One Know whether the Sōtapanna Stage is Reached?";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/verify-sotapanna-stage/"
516;;"TL.HH.010";"TL.HH.10";"502 - TL.HH.10";;;"TL";"HH";10;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;502;502;"VERDADEIRO";"Akusala Citta – How a Sotāpanna Avoids Apāyagāmi Citta";;;;"O";"VERDADEIRO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Akusala Citta – How a Sotāpanna Avoids Apāyagāmi Citta";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/akusala-citta-how-a-sotapanna-avoids-apayagami-citta/"
517;;"TL.JJ.012";"TL.JJ.12";"503 - TL.JJ.12";;;"TL";"JJ";12;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;503;503;"VERDADEIRO";"What is the only Akusala Removed by a Sōtapanna?";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » What is the only Akusala Removed by a Sōtapanna?";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/only-akusala-removed-by-sotapanna/"
518;;"TL.LL.001";"TL.LL.1";"504 - TL.LL.1";;;"TL";"LL";1;"VERDADEIRO";"FALSO";"VERDADEIRO";"FALSO";;504;504;"VERDADEIRO";"Udayavaya Ñāna";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Udayavaya Ñāna";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/udayavaya-nana/"
519;;"TL.LL.002";"TL.LL.2";"505 - TL.LL.2";;;"TL";"LL";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;505;505;"VERDADEIRO";"Udayavaya (Udayabbaya) Ñāna – Introduction";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Udayavaya (Udayabbaya) Ñāna – Introduction";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/udayavaya-nana-introduction/"
520;;"TL.LL.003";"TL.LL.3";"506 - TL.LL.3";;;"TL";"LL";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;506;506;"VERDADEIRO";"Nibbatti Lakkhana in Udayavaya Nana";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Nibbatti Lakkhana in Udayavaya Nana";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/nibbatti-lakkhana-in-udayavaya-nana/"
521;;"TL.LL.004";"TL.LL.4";"507 - TL.LL.4";;;"TL";"LL";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;507;507;"VERDADEIRO";"Āhāra (Food) in Udayavaya Ñāna";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Āhāra (Food) in Udayavaya Ñāna";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/ahara-food-in-udayavaya-nana/"
522;;"TL.LL.005";"TL.LL.5";"508 - TL.LL.5";;;"TL";"LL";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";2;508;508;"VERDADEIRO";"Udayavaya Ñāṇa – Importance of the Cittaja Kaya";;;;"O";"FALSO";;;"07 - Three Levels of Practice";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna »";"Home » Three Levels of Practice » Sōtapanna Stage of Nibbāna » Udayavaya Ñāṇa – Importance of the Cittaja Kaya";;"https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/udayavaya-nana-importance-of-the-cittaja-kaya/"
523;;"TL.LL.006";"TL.LL.6";"509 - TL.LL.6";;;"TL";"LL";6;"FALSO";"FALSO";"FALSO";"FALSO";2;509;509;"VERDADEIRO";"These posts can be better understood if one understands the gandhabba or manomaya kaya: “Gandhabba (Manomaya Kaya).”";;;;"O";"FALSO";;;"07 - Three Levels of Practice";;0;;;;"Advice";
524;;"LD.GG.009";"LD.GG.9";"510 - LD.GG.9";;;"LD";"GG";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;510;510;"VERDADEIRO";"Micca Diṭṭhi, Gandhabba, and Sotāpanna Stage – (in the “Mental Body – Gandhabba“ section).";;;;"P";"FALSO";;;"07 - Three Levels of Practice";"LD";1;"Home » Living Dhamma »";"Home » Living Dhamma » Mental Body – Gandhabba »";"Home » Living Dhamma » Mental Body – Gandhabba » Micchā Diṭṭhi, Gandhabba, and Sōtapanna Stage";;"https://puredhamma.net/living-dhamma/mental-body-gandhabba/miccha-ditthi-gandhabba-sotapanna-stage/"
525;;"BM.AA.014";"BM.AA.14";"511 - BM.AA.14";;;"BM";"AA";14;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;511;511;"VERDADEIRO";"12. Key Factors to be Considered when “Meditating” for the Sotāpanna Stage  (in the Meditation section).";;;;"P";"VERDADEIRO";;;"07 - Three Levels of Practice";"BM";1;"Home » Bhāvanā (Meditation) »";"Home » Bhāvanā (Meditation) »";"Home » Bhāvanā (Meditation) » 12. Key Factors to be Considered when “Meditating” for the Sotāpanna Stage";;"https://puredhamma.net/bhavana-meditation/12-key-factors-to-be-considered-when-meditating-for-the-sotapanna-stage/"
526;;"TL.JJ.013";"TL.JJ.13";"512 - TL.JJ.13";;;"TL";"JJ";13;"FALSO";"FALSO";"FALSO";"FALSO";1;512;512;"VERDADEIRO";"Also, see the following posts in the Abhidhamma section for more details (these could be helpful even if you have not studied Abhidhamma):";;;;"FIX";"FALSO";;;"07 - Three Levels of Practice";;0;;;;"Advice";
527;;"AB.GG.002";"AB.GG.2";"513 - AB.GG.2";;;"AB";"GG";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;513;513;"VERDADEIRO";"Why Do People Enjoy Immoral Deeds? – Diṭṭhi Is Key";;;;"P";"VERDADEIRO";;;"07 - Three Levels of Practice";"AB";1;"Home » Abhidhamma »";"Home » Abhidhamma »";"Home » Abhidhamma » Why Do People Enjoy Immoral Deeds? – Diṭṭhi Is Key";;"https://puredhamma.net/abhidhamma/immoral-deeds-ditthi-is-key/"
528;;"AB.GG.003";"AB.GG.3";"514 - AB.GG.3";;;"AB";"GG";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";1;514;514;"VERDADEIRO";"Key to Sotāpanna Stage – Diṭṭhi and Vicikicca";;;;"P";"VERDADEIRO";;;"07 - Three Levels of Practice";"AB";1;"Home » Abhidhamma »";"Home » Abhidhamma »";"Home » Abhidhamma » Key to Sotāpanna Stage – Diṭṭhi and Vicikicca";;"https://puredhamma.net/abhidhamma/key-to-sotapanna-stage-ditthi-and-vicikicca/"
529;;"TS.AA.000";"TS.AA.0";"515 - TS.AA.0";"TS.A.00";;"TS";"AA";0;"VERDADEIRO";"VERDADEIRO";"FALSO";"FALSO";0;515;515;"VERDADEIRO";"Tables and Summaries";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries";"Home » Tables and Summaries";"Home » Tables and Summaries";;"https://puredhamma.net/tables-and-summaries/"
530;;"TS.AA.001";"TS.AA.1";"516 - TS.AA.1";;;"TS";"AA";1;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;516;516;"VERDADEIRO";"Pāli Glossary – (A-K)";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » Pāli Glossary – (A-K)";;"https://puredhamma.net/tables-and-summaries/pali-glossary-a-k/"
531;;"TS.AA.002";"TS.AA.2";"517 - TS.AA.2";;;"TS";"AA";2;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;517;517;"VERDADEIRO";"Pāli Glossary – (L-Z)";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » Pāli Glossary – (L-Z)";;"https://puredhamma.net/tables-and-summaries/pali-glossary-l-z/"
532;;"TS.AA.003";"TS.AA.3";"518 - TS.AA.3";;;"TS";"AA";3;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;518;518;"VERDADEIRO";"List of “Saṅ” Words and Other Pāli Roots";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » List of “Saṅ” Words and Other Pāli Roots";;"https://puredhamma.net/tables-and-summaries/list-of-san-words-and-other-pali-roots/"
533;;"TS.AA.004";"TS.AA.4";"519 - TS.AA.4";;;"TS";"AA";4;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;519;519;"VERDADEIRO";"The 89 (121) Types of Citta";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » The 89 (121) Types of Citta";;"https://puredhamma.net/tables-and-summaries/89-or-121-citta/"
534;;"TS.AA.005";"TS.AA.5";"520 - TS.AA.5";;;"TS";"AA";5;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;520;520;"VERDADEIRO";"Cetasika (Mental Factors)";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » Cetasika (Mental Factors)";;"https://puredhamma.net/tables-and-summaries/cetasika-mental-factors/"
535;;"TS.AA.006";"TS.AA.6";"521 - TS.AA.6";;;"TS";"AA";6;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;521;521;"VERDADEIRO";"Rupa (Material Form) – Table";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » Rupa (Material Form) – Table";;"https://puredhamma.net/tables-and-summaries/rupa-material-form/"
536;;"TS.AA.007";"TS.AA.7";"522 - TS.AA.7";;;"TS";"AA";7;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;522;522;"VERDADEIRO";"Rupa – Generation Mechanisms";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » Rupa – Generation Mechanisms";;"https://puredhamma.net/tables-and-summaries/rupa-generation-mechanisms/"
537;;"TS.AA.008";"TS.AA.8";"523 - TS.AA.8";;;"TS";"AA";8;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;523;523;"VERDADEIRO";"Rupa Kalāpa (Grouping of Matter)";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » Rupa Kalāpa (Grouping of Matter)";;"https://puredhamma.net/tables-and-summaries/rupa-kalapas-grouping-of-matter/"
538;;"TS.AA.009";"TS.AA.9";"524 - TS.AA.9";;;"TS";"AA";9;"FALSO";"FALSO";"FALSO";"VERDADEIRO";0;524;524;"VERDADEIRO";"Akusala Citta and Akusala Vipāka Citta";;;;"O";"FALSO";;;"08 - Tables and Summaries";"TS";1;"Home » Tables and Summaries »";"Home » Tables and Summaries »";"Home » Tables and Summaries » Akusala Citta and Akusala Vipāka Citta";;"https://puredhamma.net/tables-and-summaries/akusala-citta-and-akusala-vipaka-citta/"
