"Ref";"id_10WEB.io";"PD#PN";"Post_Number_Calc";"Post_Number_plus_Fin-dex";"Post_Number_v1.0";"Fix";"Calc1";"Calc2";"Calc3";"Post_list!";"Main_Section?";"Surprise!";"Post?";"Tier?";"Fin-dex";"New_Ref";"TransMission";"Post_Name_English";"MS_Code_Number";"Main_Section_Title_for_Categorisation";"Nome_do_Post_Brasileirinho";"Temp_Notes";"Repetead?";"Rp_in";"Rp_out";"Where_the_Post_has_been_found?";"MainSection_Code";"Temp";"Server_Post_Path-2nd_Strip";"Server_Post_Path-1st_Strip";"Server_Post_Path-Complete_with_post_name";"Remarks";"URL";"Slug_Derived"
86;11186;"HB.AA.016";"HB.AA.016";" - HB.AA.016";;"f";"HB";"AA";16;"FALSE";"FALSE";"FALSE";"TRUE";;;;"FALSE";"Buddhaghosa’s Visuddhimagga – A Focused Analysis";;;;;"TRUE";1;2;"03 - Key Dhamma Concepts";"HB";1;;;"Home » Historical Background » Buddhaghosa’s Visuddhimagga – A Focused Analysis";;"https://puredhamma.net/historical-background/buddhaghosas-visuddhimagga-a-focused-analysis/";"buddhaghosas-visuddhimagga-a-focused-analysis"
87;;"..";"..";" - ..";;"f";;;;"FALSE";"FALSE";"FALSE";"FALSE";1;;;"FALSE";"Misinterpretation of Anicca and Anatta by Early European Scholars";;;;;"TRUE";1;3;"03 - Key Dhamma Concepts";;1;;;;"Link mentioned";;
88;3718;"KD.DD.001";"KD.DD.001";"82 - KD.DD.001";;;"KD";"DD";1;"TRUE";"FALSE";"FALSE";"FALSE";0;82;82;"TRUE";"San – A Critical Pāli Root";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » San – A Critical Pāli Root";"More links in Tier 0 than in Tier 1";"https://puredhamma.net/key-dhamma-concepts/san/";"san"
89;211;"KD.DD.002";"KD.DD.002";"83 - KD.DD.002";;;"KD";"DD";2;"FALSE";"FALSE";"FALSE";"TRUE";0;83;83;"TRUE";"What is “San”? Meaning of Sansāra (or Saṃsāra)";;;;"o";"TRUE";1;2;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » What is “San”? Meaning of Sansāra (or Saṃsāra)";;"https://puredhamma.net/key-dhamma-concepts/san-dasa-akusala/";"san-dasa-akusala"
90;476;"KD.DD.003";"KD.DD.003";"84 - KD.DD.003";;;"KD";"DD";3;"FALSE";"FALSE";"FALSE";"TRUE";0;84;84;"TRUE";"Sankhāra, Kamma, Kamma Bīja, Kamma Vipāka";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Sankhāra, Kamma, Kamma Bīja, Kamma Vipāka";;"https://puredhamma.net/key-dhamma-concepts/sankhara-kamma-kamma-vipaka/";"sankhara-kamma-kamma-vipaka"
91;4079;"KD.DD.004";"KD.DD.004";"85 - KD.DD.004";;;"KD";"DD";4;"FALSE";"FALSE";"FALSE";"TRUE";0;85;85;"TRUE";"Sankhāra – Life is a Bundle of Sankhāra";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » San – A Critical Pāli Root »";"Home » Key Dhamma Concepts » San – A Critical Pāli Root » Sankhāra – Life is a Bundle of Sankhāra";;"https://puredhamma.net/key-dhamma-concepts/san/sankhara-life-is-a-bundle-of-sankhara/";"sankhara-life-is-a-bundle-of-sankhara"
92;41367;"PS.DD.004";"PS.DD.004";"86 - PS.DD.004";;;"PS";"DD";4;"FALSE";"FALSE";"FALSE";"TRUE";0;86;86;"TRUE";"Difference Between Dhammā and Saṅkhāra";;;;"p";"TRUE";1;2;"03 - Key Dhamma Concepts";"PS";1;"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda »";"Home » Paṭicca Samuppāda » Difference Between Dhammā and Saṅkhāra";;"https://puredhamma.net/paticca-samuppada/difference-between-dhamma-and-sa%e1%b9%85khara/";"difference-between-dhamma-and-sa%e1%b9%85khara"
93;52776;"KD.DD.005";"KD.DD.005";"87 - KD.DD.005";;;"KD";"DD";5;"FALSE";"FALSE";"FALSE";"TRUE";0;87;87;"TRUE";"Kamma are Done with Abhisaṅkhāra – Types of Abhisaṅkhāra";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";;0;"Home »";"Home »";"Home » Kamma are Done with Abhisaṅkhāra – Types of Abhisaṅkhāra";;"https://puredhamma.net/kamma-are-done-with-abhisa%e1%b9%85khara-types-of-abhisa%e1%b9%85khara/";"kamma-are-done-with-abhisa%e1%b9%85khara-types-of-abhisa%e1%b9%85khara"
94;3721;"KD.EE.001";"KD.EE.001";"88 - KD.EE.001";;;"KD";"EE";1;"TRUE";"FALSE";"FALSE";"FALSE";0;88;88;"TRUE";"Nibbāna";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Nibbāna";"More links in Tier 0 than in Tier 1";"https://puredhamma.net/key-dhamma-concepts/nibbana-2/";"nibbana-2"
95;209;"KD.EE.002";"KD.EE.002";"89 - KD.EE.002";;;"KD";"EE";2;"FALSE";"FALSE";"FALSE";"TRUE";0;89;89;"TRUE";"Nibbāna – Is it Difficult to Understand?";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Nibbāna – Is it Difficult to Understand?";;"https://puredhamma.net/key-dhamma-concepts/nibbana-difficult-to-understand/";"nibbana-difficult-to-understand"
96;168;"BD.JJ.001";"BD.JJ.001";"90 - BD.JJ.001";;;"BD";"JJ";1;"FALSE";"FALSE";"FALSE";"TRUE";0;90;90;"TRUE";"The Four Stages in Attaining Nibbāna";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » What is Buddha Dhamma? »";"Home » Buddha Dhamma » What is Buddha Dhamma? » The Four Stages in Attaining Nibbāna";"This post is not listed in the Main Section Buddha Dhamma, although it the server post path is directing to there…";"https://puredhamma.net/dhamma/what-is-buddha-dhamma/the-four-stages-in-attaining-nibbana/";"the-four-stages-in-attaining-nibbana"
97;931;"BD.JJ.002";"BD.JJ.002";"91 - BD.JJ.002";;;"BD";"JJ";2;"FALSE";"FALSE";"FALSE";"TRUE";0;91;91;"TRUE";"What Are Rūpa? (Relation to Nibbāna)";;;;"o";"FALSE";;;"03 - Key Dhamma Concepts";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » What is Buddha Dhamma? »";"Home » Buddha Dhamma » What is Buddha Dhamma? » What Are Rūpa? (Relation to Nibbāna)";"This post is not listed in the Main Section Buddha Dhamma, although it the server post path is directing to there…";"https://puredhamma.net/dhamma/what-is-buddha-dhamma/what-are-rupa-relation-to-nibbana/";"what-are-rupa-relation-to-nibbana"
98;1708;"BD.JJ.003";"BD.JJ.003";"92 - BD.JJ.003";;;"BD";"JJ";3;"FALSE";"FALSE";"FALSE";"TRUE";0;92;92;"TRUE";"Nirāmisa Sukha";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"BD";1;"Home » Buddha Dhamma »";"Home » Buddha Dhamma » What is Buddha Dhamma? »";"Home » Buddha Dhamma » What is Buddha Dhamma? » Nirāmisa Sukha";"This post is not listed in the Main Section Buddha Dhamma, although it the server post path is directing to there…";"https://puredhamma.net/dhamma/what-is-buddha-dhamma/niramisa-sukha-happiness-arising-from-dissociating-from-the-31-realms/";"niramisa-sukha-happiness-arising-from-dissociating-from-the-31-realms"
99;145;"TL.CC.006";"TL.CC.006";"93 - TL.CC.006";;;"TL";"CC";6;"FALSE";"FALSE";"FALSE";"TRUE";0;93;93;"TRUE";"How to Taste Nibbāna";;;;"P";"TRUE";1;2;"03 - Key Dhamma Concepts";"TL";1;"Home » Three Levels of Practice »";"Home » Three Levels of Practice » Moral Living and Fundamentals »";"Home » Three Levels of Practice » Moral Living and Fundamentals » How to Taste Nibbāna";;"https://puredhamma.net/three-levels-of-practice/moral-living-and-fundamentals/how-to-taste-nibbana/";"how-to-taste-nibbana"
100;1870;"KD.EE.003";"KD.EE.003";"94 - KD.EE.003";;;"KD";"EE";3;"FALSE";"FALSE";"FALSE";"TRUE";0;94;94;"TRUE";"Does the First Noble Truth Describe only Suffering?";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Does the First Noble Truth Describe only Suffering?";;"https://puredhamma.net/key-dhamma-concepts/does-the-first-noble-truth-describe-only-suffering/";"does-the-first-noble-truth-describe-only-suffering"
101;;"KD..";"KD..";"95 - KD..";;"F";"KD";;;"FALSE";"FALSE";"FALSE";"TRUE";0;95;95;"FALSE";"Nirōdha and Vaya – Two Different Concepts";;;;"FIX";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Nirōdha and Vaya – Two Different Concepts";"Post no longer exists in 20250211";"https://puredhamma.net/key-dhamma-concepts/nirodha-and-vaya-two-different-concepts/";"nirodha-and-vaya-two-different-concepts"
102;9839;"KD.EE.004";"KD.EE.004";"96 - KD.EE.004";;;"KD";"EE";4;"FALSE";"FALSE";"FALSE";"TRUE";0;96;96;"TRUE";"Nibbāna “Exists”, but Not in This World";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Nibbāna »";"Home » Key Dhamma Concepts » Nibbāna » Nibbāna “Exists”, but Not in This World";;"https://puredhamma.net/key-dhamma-concepts/nibbana-2/nibbana-exists-but-not-in-this-world/";"nibbana-exists-but-not-in-this-world"
103;3715;"KD.FF.001";"KD.FF.001";"97 - KD.FF.001";;;"KD";"FF";1;"TRUE";"FALSE";"FALSE";"FALSE";0;97;97;"TRUE";"Anicca, Dukkha, Anatta";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/";"anicca-dukkha-anatta-2"
104;45428;"KD.FF.002";"KD.FF.002";"98 - KD.FF.002";;;"KD";"FF";2;"FALSE";"FALSE";"FALSE";"TRUE";;98;98;"TRUE";"Anicca, Dukkha, Anatta – Distortion Timeline";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca, Dukkha, Anatta – Distortion Timeline";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-dukkha-anatta-distortion-timeline/";"anicca-dukkha-anatta-distortion-timeline"
105;213;"KD.FF.003";"KD.FF.003";"99 - KD.FF.003";;;"KD";"FF";3;"FALSE";"FALSE";"FALSE";"TRUE";0;99;99;"TRUE";"Anicca, Dukkha, Anatta – Wrong Interpretations";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca, Dukkha, Anatta – Wrong Interpretations";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-dukkha-anatta/";"anicca-dukkha-anatta"
106;11372;"HB.AA.018";"HB.AA.018";"100 - HB.AA.018";;;"HB";"AA";18;"FALSE";"FALSE";"FALSE";"TRUE";;100;100;"TRUE";"Misinterpretation of Anicca and Anatta by Early European Scholars";;;;"P";"TRUE";2;3;"03 - Key Dhamma Concepts";"HB";1;;;"Home » Historical Background » Misinterpretation of Anicca and Anatta by Early European Scholars";;"https://puredhamma.net/historical-background/misinterpretation-of-anicca-and-anatta-by-early-european-scholars/";"misinterpretation-of-anicca-and-anatta-by-early-european-scholars"
107;31325;"KD.FF.004";"KD.FF.004";"101 - KD.FF.004";;;"KD";"FF";4;"FALSE";"FALSE";"FALSE";"TRUE";;101;101;"TRUE";"The Way to Nibbāna – Transcription of a Discourse by Waharaka Thero";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » The Way to Nibbāna – Transcription of a Discourse by Waharaka Thero";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/the-way-to-nibbana-transcription-of-a-discourse-by-waharaka-thero/";"the-way-to-nibbana-transcription-of-a-discourse-by-waharaka-thero"
108;1670;"KD.FF.005";"KD.FF.005";"102 - KD.FF.005";;;"KD";"FF";5;"TRUE";"FALSE";"TRUE";"FALSE";0;102;102;"TRUE";"Anicca – True Meaning";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca – True Meaning";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-true-meaning/";"anicca-true-meaning"
109;11983;"KD.FF.006";"KD.FF.006";"103 - KD.FF.006";;;"KD";"FF";6;"FALSE";"FALSE";"FALSE";"TRUE";0;103;103;"TRUE";"Anicca – Inability to Keep What We Like";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca – Inability to Keep What We Like";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-inability-to-keep-what-we-like/";"anicca-inability-to-keep-what-we-like"
110;4061;"KD.FF.007";"KD.FF.007";"104 - KD.FF.007";;;"KD";"FF";7;"FALSE";"FALSE";"FALSE";"TRUE";0;104;104;"TRUE";"Anicca – Repeated Arising/Destruction";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca – Repeated Arising/Destruction";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-repeated-arisingdestruction/";"anicca-repeated-arisingdestruction"
111;11934;"KD.FF.008";"KD.FF.008";"105 - KD.FF.008";;;"KD";"FF";8;"FALSE";"FALSE";"FALSE";"TRUE";0;105;105;"TRUE";"Anicca – Worthlessness of Worldly Things";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca – Worthlessness of Worldly Things";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-worthlessness-of-worldly-things/";"anicca-worthlessness-of-worldly-things"
112;2343;"KD.FF.009";"KD.FF.009";"106 - KD.FF.009";;;"KD";"FF";9;"FALSE";"FALSE";"FALSE";"TRUE";0;106;106;"TRUE";"Anicca – The Incessant Distress (“Pīḷana”)";;;;"O";"TRUE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca – True Meaning »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca – True Meaning » Anicca – The Incessant Distress (“Pīḷana”)";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anicca-true-meaning/incesssant-distress-pilana/";"incesssant-distress-pilana"
113;5044;"KD.FF.010";"KD.FF.010";"107 - KD.FF.010";;;"KD";"FF";10;"FALSE";"FALSE";"FALSE";"TRUE";0;107;107;"TRUE";"How to Cultivate the Anicca Saññā";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » How to Cultivate the Anicca Saññā";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/how-to-cultivate-the-anicca-sanna/";"how-to-cultivate-the-anicca-sanna"
114;6459;"KD.FF.011";"KD.FF.011";"108 - KD.FF.011";;;"KD";"FF";11;"FALSE";"FALSE";"FALSE";"TRUE";0;108;108;"TRUE";"How to Cultivate the Anicca Saññā – II";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » How to Cultivate the Anicca Saññā – II";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/how-to-cultivate-the-anicca-sanna-ii/";"how-to-cultivate-the-anicca-sanna-ii"
115;4156;"KD.FF.012";"KD.FF.012";"109 - KD.FF.012";;;"KD";"FF";12;"FALSE";"FALSE";"FALSE";"TRUE";0;109;109;"TRUE";"If Everything is Anicca Should We Just give up Everything?";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » If Everything is Anicca Should We Just give up Everything?";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/if-everything-is-anicca-should-we-just-give-up-everything/";"if-everything-is-anicca-should-we-just-give-up-everything"
116;20727;"KD.FF.013";"KD.FF.013";"110 - KD.FF.013";;;"KD";"FF";13;"TRUE";"FALSE";"FALSE";"FALSE";;110;110;"TRUE";"Anatta – A Systematic Analysis";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/";"anatta-systematic-analysis"
117;23368;"KD.FF.014";"KD.FF.014";"111 - KD.FF.014";;;"KD";"FF";14;"FALSE";"FALSE";"FALSE";"TRUE";;111;111;"TRUE";"Anattā in Anattalakkahana Sutta – No Soul or an Ātma";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Anattā in Anattalakkahana Sutta – No Soul or an Ātma";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/anatta-no-soul-no-atma/";"anatta-no-soul-no-atma"
118;23475;"KD.FF.015";"KD.FF.015";"112 - KD.FF.015";;;"KD";"FF";15;"FALSE";"FALSE";"FALSE";"TRUE";;112;112;"TRUE";"Anatta – No Refuge in This World";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Anatta – No Refuge in This World";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/anatta-no-refuge-in-this-world/";"anatta-no-refuge-in-this-world"
119;11036;"KD.FF.016";"KD.FF.016";"113 - KD.FF.016";;;"KD";"FF";16;"FALSE";"FALSE";"FALSE";"TRUE";0;113;113;"TRUE";"Dasa Akusala and Anatta – The Critical Link";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Dasa Akusala and Anatta – The Critical Link";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/dasa-akusala-and-anatta-the-critical-link/";"dasa-akusala-and-anatta-the-critical-link"
120;10967;"KD.FF.017";"KD.FF.017";"114 - KD.FF.017";;;"KD";"FF";17;"FALSE";"FALSE";"FALSE";"TRUE";0;114;114;"TRUE";"Anatta – the Opposite of Which Atta?";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – the Opposite of Which Atta?";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-opposite-of-which-atta/";"anatta-opposite-of-which-atta"
121;20597;"KD.FF.018";"KD.FF.018";"115 - KD.FF.018";;;"KD";"FF";18;"FALSE";"FALSE";"FALSE";"TRUE";0;115;115;"TRUE";"Anattā (Mundane Interpretation) – No “Unchanging Self”";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Anattā (Mundane Interpretation) – No “Unchanging Self”";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/anatta-no-unchanging-self/";"anatta-no-unchanging-self"
122;34991;"KD.CC.008";"KD.CC.008";"116 - KD.CC.008";;;"KD";"CC";8;"FALSE";"FALSE";"FALSE";"TRUE";2;116;116;"TRUE";"Anatta in Anattalakkhaṇa Sutta – Part 1";;;;"P";"TRUE";2;2;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Basic Framework of Buddha Dhamma » Tilakkhana – Introduction »";"Home » Key Dhamma Concepts » Basic Framework of Buddha Dhamma » Tilakkhana – Introduction » Anatta in Anattalakkhaṇa Sutta – Part 1";;"https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anatta-in-anattalakkhana-sutta-part-1/";"anatta-in-anattalakkhana-sutta-part-1"
123;35575;"KD.CC.009";"KD.CC.009";"117 - KD.CC.009";;;"KD";"CC";9;"FALSE";"FALSE";"FALSE";"TRUE";2;117;117;"TRUE";"Anatta in Anattalakkhaṇa Sutta – Part 2";;;;"P";"TRUE";2;2;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Basic Framework of Buddha Dhamma » Tilakkhana – Introduction »";"Home » Key Dhamma Concepts » Basic Framework of Buddha Dhamma » Tilakkhana – Introduction » Anatta in Anattalakkhaṇa Sutta – Part 2";;"https://puredhamma.net/key-dhamma-concepts/basic-framework-of-buddha-dhamma/tilakkhana-introduction/anatta-in-anattalakkhana-sutta-part-2/";"anatta-in-anattalakkhana-sutta-part-2"
124;20495;"KD.FF.028";"KD.FF.028";"118 - KD.FF.028";;;"KD";"FF";28;"FALSE";"FALSE";"FALSE";"TRUE";;118;118;"TRUE";"Types of Bodies in 31 Realms – Connection to Jhāna";;;;"O";"TRUE";1;2;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Types of Bodies in 31 Realms – Connection to Jhāna";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/31-realms-connection-to-jhana/";"31-realms-connection-to-jhana"
125;20660;"KD.FF.029";"KD.FF.029";"119 - KD.FF.029";;;"KD";"FF";29;"FALSE";"FALSE";"FALSE";"TRUE";;119;119;"TRUE";"Finest Manōmaya Kaya of an Arūpāvacara Brahma";;;;"O";"TRUE";1;2;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anatta – A Systematic Analysis » Finest Manōmaya Kaya of an Arūpāvacara Brahma";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/anatta-systematic-analysis/manomaya-kaya-of-arupavacara-brahma/";"manomaya-kaya-of-arupavacara-brahma"
126;;"Verificar?";"..";" - ..";;"F";;;;"FALSE";"FALSE";"FALSE";"FALSE";;;;"FALSE";"September 2023: New Section with a different approach: “Does “Anatta” Refer to a “Self”?“";;;;"FIX";"FALSE";;;;;1;;;;"Link mentioned";;
127;2668;"KD.FF.019";"KD.FF.019";"120 - KD.FF.019";;;"KD";"FF";19;"FALSE";"FALSE";"FALSE";"TRUE";0;120;120;"TRUE";"Anatta and Dukkha – True Meanings";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anatta and Dukkha – True Meanings";;"https://puredhamma.net/key-dhamma-concepts/anatta-why-the-concept-of-no-soul-could-be-as-bad-as-the-concept-of-a-soul/";"anatta-why-the-concept-of-no-soul-could-be-as-bad-as-the-concept-of-a-soul"
128;4960;"KD.FF.020";"KD.FF.020";"121 - KD.FF.020";;;"KD";"FF";20;"FALSE";"FALSE";"FALSE";"TRUE";0;121;121;"TRUE";"Anicca, Dukkha, Anatta – According to Some Key Suttā";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Anicca, Dukkha, Anatta – According to Some Key Suttā";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/tilakkhana-according-to-some-key-sutta/";"tilakkhana-according-to-some-key-sutta"
129;13944;"KD.FF.021";"KD.FF.021";"122 - KD.FF.021";;;"KD";"FF";21;"FALSE";"FALSE";"FALSE";"TRUE";1;122;122;"TRUE";"Tilakkhana – English Discourses";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;"Home » Key Dhamma Concepts »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta »";"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Tilakkhana – English Discourses";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/tilakkhana-english-discourses/";"tilakkhana-english-discourses"
130;23670;"KD.FF.022";"KD.FF.022";"123 - KD.FF.022";;;"KD";"FF";22;"TRUE";"FALSE";"FALSE";"FALSE";;123;123;"TRUE";"Sotāpanna Stage and Tilakkhaṇa";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Sotāpanna Stage and Tilakkhaṇa";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/";"sotapanna-stage-and-tilakkhana"
131;23426;"KD.FF.023";"KD.FF.023";"124 - KD.FF.023";;;"KD";"FF";23;"FALSE";"FALSE";"FALSE";"TRUE";;124;124;"TRUE";"Sakkāya Diṭṭhi and Tilakkhana";;;;"O";"FALSE";;;"03 - Key Dhamma Concepts";"KD";1;;;"Home » Key Dhamma Concepts » Anicca, Dukkha, Anatta » Sotāpanna Stage and Tilakkhaṇa » Sakkāya Diṭṭhi and Tilakkhana";;"https://puredhamma.net/key-dhamma-concepts/anicca-dukkha-anatta-2/sotapanna-stage-and-tilakkhana/sakkaya-ditthi-and-tilakkhana/";"sakkaya-ditthi-and-tilakkhana"
