Fin-dex;id_10WEB.io;PD#PN;Post_Name_English;Nome_do_Post_Brasileirinho;MainSection_Code;URL;Slug_Derived
132;5284;KD.GG.002;Namagotta, Bhava, Kamma Bīja, and Mano Loka (Mind Plane);;KD;https://puredhamma.net/key-dhamma-concepts/namagotta-bhava-kamma-beeja-and-mano-loka-mind-plane/;namagotta-bhava-kamma-beeja-and-mano-loka-mind-plane
133;5337;KD.GG.003;Gati and Bhava – Many Varieties;;KD;https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/gathi-bhava-many-varieties/;gathi-bhava-many-varieties
134;5433;KD.GG.004;Gati to Bhava to Jāti – Ours to Control;;KD;https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/gathi-bhava-jati-ours-to-control/;gathi-bhava-jati-ours-to-control
135;3772;KD.GG.005;Memory, Brain, Mind, Nama Loka, Kamma Bhava, Kamma Vipāka;;KD;https://puredhamma.net/key-dhamma-concepts/memory-brain-mind-nama-loka-kamma-bhava-kamma-vipaka/;memory-brain-mind-nama-loka-kamma-bhava-kamma-vipaka
136;2017;KD.GG.006;Bhava and Jāti – States of Existence and Births Therein;;KD;https://puredhamma.net/key-dhamma-concepts/bhava-jati-states-of-existence-and-repeated-births-therein/;bhava-jati-states-of-existence-and-repeated-births-therein
137;39364;KD.GG.007;Cuti and Marana – Related to Bhava and Jāti;;KD;https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/cuti-and-marana-related-to-bhava-and-jati/;cuti-and-marana-related-to-bhava-and-jati
138;39290;KD.GG.008;Anusaya, Gati, Bhava – Connection to Manomaya Kāya (Gandhabba);;KD;https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/anusaya-gati-bhava-connection-to-manomaya-kaya-gandhabba/;anusaya-gati-bhava-connection-to-manomaya-kaya-gandhabba
139;18858;PS.II.009;Difference Between Tanhā and Upādāna;;PS;https://puredhamma.net/paticca-samuppada/paticca-samuppada-in-plain-english/difference-between-tanha-and-upadana/;difference-between-tanha-and-upadana
140;19499;KD.GG.009;Pāpa Kamma Versus Akusala Kamma;;KD;https://puredhamma.net/key-dhamma-concepts/gati-bhava-jati/papa-kamma-versus-akusala-kamma/;papa-kamma-versus-akusala-kamma
141;4431;KD.HH.001;Sorting out Some Key Pāli Terms (Taṇhā, Lobha, Dosa, Moha, etc);;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/;key-pali-terms-tanha-lobha-dosa-moha
142;2918;KD.HH.002;Kāma Tanhā, Bhava Tanhā, Vibhava Tanhā;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/kama-tanha-bhava-tanha-vibhava-tanha/;kama-tanha-bhava-tanha-vibhava-tanha
143;1140;KD.HH.003;Tanhā – How We Attach Via Greed, Hate, and Ignorance;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/tanha-how-we-attach-via-greed-hate-and-ignorance/;tanha-how-we-attach-via-greed-hate-and-ignorance
144;2920;KD.HH.004;Lōbha, Rāga and Kāmacchanda, Kāmarāga;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/greed-kamachanda-kamaraga-lobha-raga/;greed-kamachanda-kamaraga-lobha-raga
145;4435;KD.HH.005;Lōbha, Dōsa, Mōha versus Rāga, Paṭigha, Avijjā;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/lobha-dosa-moha-raga-patigha-avijja/;lobha-dosa-moha-raga-patigha-avijja
146;9387;LD.AA.006;What Are Kilesa (Mental Impurities)? – Connection to Cetasika;;LD;https://puredhamma.net/living-dhamma/what-are-kilesa-mental-impurities-connection-to-cetasika/;what-are-kilesa-mental-impurities-connection-to-cetasika
147;484;KD.HH.006;What is Avijja (Ignorance)?;;KD;https://puredhamma.net/key-dhamma-concepts/what-is-avijja-ignorance/;what-is-avijja-ignorance
148;584;TL.II.009;Vedanā (Feelings) Arise in Two Ways;;TL;https://puredhamma.net/three-levels-of-practice/sotapanna-stage-of-nibbana/two-types-of-vedana-feelings/;two-types-of-vedana-feelings
149;2334;PS.JJ.003;Anantara and Samanantara Paccayā;;PS;https://puredhamma.net/paticca-samuppada/patthana-dhamma/anantara-samanantara-paccaya/;anantara-samanantara-paccaya
150;8415;KD.HH.007;Indriya and Āyatana – Big Difference;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/indriya-and-ayatana-big-difference/;indriya-and-ayatana-big-difference
151;8831;TL.EE.013;Hetu-Phala, Paccuppanna, and Paṭicca Samuppāda;;TL;https://puredhamma.net/three-levels-of-practice/moral-living-and-fundamentals/dhamma-concepts/hetu-phala-paccuppanna-and-paticca-samuppada/;hetu-phala-paccuppanna-and-paticca-samuppada
152;1333;TL.EE.009;Diṭṭhi (Wrong Views), Sammā Diṭṭhi (Good/Correct Views);;TL;https://puredhamma.net/three-levels-of-practice/moral-living-and-fundamentals/dhamma-concepts/ditthi-wrong-views-samma-ditthi-correct-views/;ditthi-wrong-views-samma-ditthi-correct-views
153;10270;KD.BB.007;Correct Meaning of Vacī Sankhāra;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/correct-meaning-of-vaci-sankhara/;correct-meaning-of-vaci-sankhara
154;3119;KD.HH.008;Pañca Indriya and Pañca Bala – Five Faculties and Five Powers;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/panca-indriya-and-panca-bala-five-faculties-and-five-powers/;panca-indriya-and-panca-bala-five-faculties-and-five-powers
155;20408;KD.HH.009;Kāmaccandha and Icca – Being Blinded by Cravings;;KD;https://puredhamma.net/key-dhamma-concepts/key-pali-terms-tanha-lobha-dosa-moha/kamaccandha-and-icca-being-blinded-by-cravings/;kamaccandha-and-icca-being-blinded-by-cravings
157;606;KD.II.001;The Five Aggregates (Pañcakkhandha);;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/;five-aggregates-pancakkhandha
158;3043;KD.II.002;Five Aggregates – Introduction;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-introduction/;five-aggregates-introduction
159;18884;KD.II.003;Difference Between Physical Rūpa and Rūpakkhandha;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/difference-between-physical-rupa-and-rupakkhandha/;difference-between-physical-rupa-and-rupakkhandha
160;29287;KD.II.004;Rūpakkhandha and Rūpa Upādānakkhandha;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/rupakkhandha-and-rupa-upadanakkhandha/;rupakkhandha-and-rupa-upadanakkhandha
161;29403;KD.II.005;Arising of Five Aggregates Based on an Ārammaṇa;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/arising-of-five-aggregates/;arising-of-five-aggregates
162;29505;KD.II.006;Memory Records- Critical Part of Five Aggregates;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/memory-records-critical-part-of-five-aggregates/;memory-records-critical-part-of-five-aggregates
163;29615;KD.II.007;Pañca Upādānakkhandhā – Introduction;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/panca-upadanakkhandha-introduction/;panca-upadanakkhandha-introduction
164;29744;KD.KK.001;Five Aggregates – Connection to Tilakkhaṇa;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-connection-to-tilakkhana/;five-aggregates-connection-to-tilakkhana
167;644;KD.II.008;Viññāṇa (Defiled Consciousness);;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/vinnana-defiled-consciousness/;vinnana-defiled-consciousness
168;982;KD.II.009;Rupa (Material Form);;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/rupa-material-form/;rupa-material-form
169;51481;KD.II.010;Sensory Experience, Paṭicca Samuppāda, and pañcupādānakkhandha;;;https://puredhamma.net/sensory-experience-pa%e1%b9%adicca-samuppada-and-pancupadanakkhandha/;sensory-experience-pa%e1%b9%adicca-samuppada-and-pancupadanakkhandha
170;52005;KD.II.011;Two Aspects of Saññā – Beneficial and Dangerous;;;https://puredhamma.net/two-aspects-of-sanna-beneficial-and-dangerous/;two-aspects-of-sanna-beneficial-and-dangerous
171;51419;KD.II.012;Overcoming Attachment to “Distorted/False Saññā” Leads to Nibbāna;;;https://puredhamma.net/overcoming-attachment-to-distorted-false-sanna-leads-to-nibbana/;overcoming-attachment-to-distorted-false-sanna-leads-to-nibbana
173;29713;KD.KK.002;Five Aggregates and Tilakkhaṇa – Introduction;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-connection-to-tilakkhana/five-aggregates-and-tilakkhana-introduction/;five-aggregates-and-tilakkhana-introduction
174;29884;KD.KK.003;Icca, Nicca, Anicca – Important Connections;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-connection-to-tilakkhana/icca-nicca-anicca-important-connections/;icca-nicca-anicca-important-connections
175;29682;KD.KK.004;“Me” and “Mine” – The Root Cause of Suffering;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-connection-to-tilakkhana/me-and-mine-root-cause-of-suffering/;me-and-mine-root-cause-of-suffering
176;31084;KD.KK.005;Difference Between “Me and Mine” and Sakkāya Diṭṭhi;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-connection-to-tilakkhana/me-and-mine-and-sakkaya-ditthi/;me-and-mine-and-sakkaya-ditthi
177;31110;KD.KK.006;Sakkāya Diṭṭhi – “Me and Mine” View;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-connection-to-tilakkhana/sakkaya-ditthi-me-and-mine-view/;sakkaya-ditthi-me-and-mine-view
178;31167;KD.KK.007;Atta – Two Very Different Meanings;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/five-aggregates-connection-to-tilakkhana/atta-two-very-different-meanings/;atta-two-very-different-meanings
179;11570;KD.JJ.001;Subsection: “Nāma & Rūpa to Nāmarūpa“;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/;nama-rupa-to-namarupa
180;10759;KD.JJ.002;Vēdanā and Samphassa-Jā-Vēdanā – More Than Just Feelings;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/four-mental-aggregates/vedana-and-samphassa-ja-vedana/;vedana-and-samphassa-ja-vedana
181;13458;KD.JJ.003;Does Bodily Pain Arise Only Due to Kamma Vipāka?;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/four-mental-aggregates/does-bodily-pain-arise-only-due-to-kamma-vipaka/;does-bodily-pain-arise-only-due-to-kamma-vipaka
182;10519;KD.JJ.004;Saññā – What It Really Means;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/four-mental-aggregates/sanna-what-it-really-means/;sanna-what-it-really-means
183;10610;KD.JJ.005;Future Suffering – Why It Arises;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/four-mental-aggregates/future-suffering-why-it-arises/;future-suffering-why-it-arises
184;10624;KD.JJ.006;Vipallāsa (Diṭṭhi, Saññā, Citta) Affect Saṅkhāra;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/four-mental-aggregates/vipallasa-ditthi-sanna-citta/;vipallasa-ditthi-sanna-citta
185;10827;KD.BB.006;Saṅkhāra – What It Really Means;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/four-mental-aggregates/sankhara-what-it-really-means/;sankhara-what-it-really-means
186;10857;KD.JJ.007;Viññāṇa – What It Really Means;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/vinnana-aggregate/vinnana-what-it-really-means/;vinnana-what-it-really-means
187;11544;KD.JJ.008;Kamma Viññāṇa – Link Between Mind and Matter;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/vinnana-aggregate/kamma-vinnana-link-between-mind-and-matter/;kamma-vinnana-link-between-mind-and-matter
188;13011;KD.JJ.009;Anidassana Viññāṇa – What It Really Means;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/vinnana-aggregate/anidassana-vinnana-what-it-really-means/;anidassana-vinnana-what-it-really-means
189;37257;KD.JJ.010;Nāmarupa in Vipāka Viññāṇa;;;https://puredhamma.net/namarupa-in-vipaka-vinna%e1%b9%87a/;namarupa-in-vipaka-vinna%e1%b9%87a
190;44282;KD.JJ.011;Nāmarupa in Idappaccayātā Paṭicca Samuppāda;;;https://puredhamma.net/namarupa-in-pa%e1%b9%adicca-samuppada/;namarupa-in-pa%e1%b9%adicca-samuppada
191;44398;KD.JJ.012;Nāmarupa – Different Types;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/namarupa-different-types/;namarupa-different-types
193;11558;KD.JJ.013;Kamma Viññāṇa and Nāmarūpa Paricceda Ñāṇa;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/namarupa-formation/kamma-vinnana-and-namarupa-paricceda-nana/;kamma-vinnana-and-namarupa-paricceda-nana
194;11485;KD.LL.001;Rūpa Aggregate;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/rupa-aggregate/;rupa-aggregate
194;13363;KD.LL.002;Bhūta and Yathābhūta – What Do They Really Mean;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/rupa-aggregate/bhuta-and-yathabhuta-what-do-they-really-mean/;bhuta-and-yathabhuta-what-do-they-really-mean
194;31878;KD.LL.003;What are Rūpa? – Dhammā are Rūpā too!;;KD;https://puredhamma.net/key-dhamma-concepts/nama-rupa-to-namarupa/rupa-aggregate/what-are-rupa-dhamma-are-rupa-too-2/;what-are-rupa-dhamma-are-rupa-too-2
195;6676;KD.AA.001;Pancakkhandha or Five Aggregates – A Misinterpreted Concept;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/pancakkhandha-or-five-aggregates-a-misinterpreted-concept/;pancakkhandha-or-five-aggregates-a-misinterpreted-concept
196;7497;KD.AA.002;Pancupādānakkhandha – It is All Mental;;KD;https://puredhamma.net/key-dhamma-concepts/five-aggregates-pancakkhandha/pancupadanakkhandha-it-is-all-mental/;pancupadanakkhandha-it-is-all-mental
197;9805;LD.AA.000;Living Dhamma;;LD;https://puredhamma.net/living-dhamma/;living-dhamma
198;20944;LD.BB.001;Essential Buddhism;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/;essential-buddhism
199;21155;LD.BB.002;Four Noble Truths – Suffering and Its Elimination;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/four-noble-truths/;four-noble-truths
200;20914;LD.BB.003;Introduction to Citta, Vēdanā, Saññā, Saṅkhāra, and Viññāṇa;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/citta-vedana-sanna-sankhara-vinnana/;citta-vedana-sanna-sankhara-vinnana
201;20863;LD.BB.004;Viññāṇa – Consciousness Together With Future Expectations;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/vinnana-expectations-consciousness/;vinnana-expectations-consciousness
202;21026;LD.BB.005;Connection Between Saṅkhāra and Viññāṇa;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/connection-between-sankhara-vinnana/;connection-between-sankhara-vinnana
203;21075;LD.BB.006;Viññāna and Sankhāra – Connection to Paṭicca Samuppāda;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/vinnana-sankhara-paticca-samuppada/;vinnana-sankhara-paticca-samuppada
204;21354;LD.BB.007;Breath Meditation Is Addictive and Harmful in the Long Run;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/breath-meditation-addictive-harmful/;breath-meditation-addictive-harmful
205;21323;LD.BB.008;Ānapānasati Eliminates Mental Stress Permanently;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/anapanasati-eliminate-mental-stress/;anapanasati-eliminate-mental-stress
206;21645;LD.BB.009;Ānāpāna and Satipaṭṭhāna – Fundamentals;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/anapana-satipatthana-fundamentals/;anapana-satipatthana-fundamentals
207;21619;LD.BB.010;Sati in Ānapānasati/Satipaṭṭhāna – Two Meanings of Sati;;LD;https://puredhamma.net/living-dhamma/essential-buddhism/sati-in-anapanasati-satipatthana/;sati-in-anapanasati-satipatthana
208;;LD.AA.001;Living Dhamma – Overview;;;;
209;9798;LD.AA.002;Living Dhamma – Introduction;;LD;https://puredhamma.net/living-dhamma/living-dhamma-introduction/;living-dhamma-introduction
210;9613;LD.AA.003;Peace of Mind to Nibbāna – The Key Step;;LD;https://puredhamma.net/living-dhamma/peace-of-mind-to-nibbana-the-key-step/;peace-of-mind-to-nibbana-the-key-step
211;9733;LD.AA.004;"Starting on the Path Even without Belief in Rebirth (with first Desana “The Hidden Suffering that We All Can Understand”; desana title different from post title)";;LD;https://puredhamma.net/living-dhamma/starting-on-the-path-without-belief-in-rebirth/;starting-on-the-path-without-belief-in-rebirth
212;12924;LD.CC.001;Dhamma with Less Pāli;;LD;https://puredhamma.net/living-dhamma/dhamma-with-less-pali/;dhamma-with-less-pali
213;15039;LD.CC.002;Buddha Dhamma for an Inquiring Mind – Part I;;LD;https://puredhamma.net/living-dhamma/dhamma-with-less-pali/buddha-dhamma-for-an-inquiring-mind-part-i/;buddha-dhamma-for-an-inquiring-mind-part-i
214;12882;LD.CC.003;“Root of All Suffering – Ten Immoral Actions” (with the dēsana “Ten Immoral Actions (Dasa Akusala)”.;;LD;https://puredhamma.net/living-dhamma/dhamma-with-less-pali/root-of-all-suffering-ten-immoral-actions/;root-of-all-suffering-ten-immoral-actions
215;2580;LD.CC.004;Is Suffering the Same as the First Noble Truth on Suffering?;;LD;https://puredhamma.net/living-dhamma/dhamma-with-less-pali/is-suffering-the-same-as-the-first-noble-truth-on-suffering/;is-suffering-the-same-as-the-first-noble-truth-on-suffering
216;22669;LD.CC.005;Complexity of the Mind – Viññāṇa and Saṅkhāra;;LD;https://puredhamma.net/living-dhamma/dhamma-with-less-pali/complexity-of-mind-vinnana-sankhara/;complexity-of-mind-vinnana-sankhara
217;17645;LD.CC.006;Dhamma, Saṅkhāra, Sankata, Rupa, Viññāṇa, Gati, Āsava, Anusaya;;LD;https://puredhamma.net/living-dhamma/dhamma-with-less-pali/dhamma-sankhara-sankata-rupa-vinnana-gati-asava-anusaya/;dhamma-sankhara-sankata-rupa-vinnana-gati-asava-anusaya
218;13749;AB.BB.007;Bhava and Bhavaṅga – Simply Explained!;;AB;https://puredhamma.net/abhidhamma/essential-abhidhamma-the-basics/bhava-bhavanga-simply-explained/;bhava-bhavanga-simply-explained
219;51436;LD.CC.007;Citta, Manō, Viññāna – Nine Stages of Mind Contamination;;;https://puredhamma.net/citta-mano-vinnana-nine-stages-of-mind-contamination/;citta-mano-vinnana-nine-stages-of-mind-contamination
220;;LD.AA.005;Living Dhamma – Fundamentals;;;;
222;9851;LD.AA.007;Suffering in This Life – Role of Mental Impurities (with Desana 2);;LD;https://puredhamma.net/living-dhamma/suffering-in-this-life-role-of-mental-impurities/;suffering-in-this-life-role-of-mental-impurities
223;9923;LD.AA.008;Satipaṭṭhāna Sutta – Relevance to Suffering in This Life (with Desana 3);;LD;https://puredhamma.net/living-dhamma/satipattana-sutta-relevance-to-suffering-in-this-life/;satipattana-sutta-relevance-to-suffering-in-this-life
224;9954;LD.AA.009;"How Are Gati and Kilesa Incorporated into Thoughts? (with Desana 4; in two parts)";;LD;https://puredhamma.net/living-dhamma/how-are-gati-and-kilesa-incorporated-into-thoughts/;how-are-gati-and-kilesa-incorporated-into-thoughts
225;9999;LD.AA.010;Noble Eightfold Path – Role of Sobhana Cetasika;;LD;https://puredhamma.net/living-dhamma/noble-eightfold-path-role-of-sobhana-cetasika/;noble-eightfold-path-role-of-sobhana-cetasika
226;10009;LD.AA.011;Getting to Samadhi (with Desana 5);;LD;https://puredhamma.net/living-dhamma/getting-to-samadhi/;getting-to-samadhi
227;;LD.DD.001;Mundane Sammā Samadhi;;;;
228;10141;LD.DD.002;Micchā Diṭṭhi – Connection to Hetu Phala (Cause and Effect);;LD;https://puredhamma.net/living-dhamma/micca-ditthi-connection-to-hethu-phala-cause-and-effect/;micca-ditthi-connection-to-hethu-phala-cause-and-effect
229;10224;LD.DD.003;Suffering in This Life and Paṭicca Samuppāda (with Desana 7);;LD;https://puredhamma.net/living-dhamma/suffering-in-this-life-and-paticca-samuppada/;suffering-in-this-life-and-paticca-samuppada
230;10395;LD.DD.004;Suffering in This Life and Paṭicca Samuppāda II (with Desana 8);;LD;https://puredhamma.net/living-dhamma/mundane-samma-samadhi/suffering-in-this-life-and-paticca-samuppada-ii/;suffering-in-this-life-and-paticca-samuppada-ii
231;12093;LD.EE.001;Transition to Noble Eightfold Path;;LD;https://puredhamma.net/living-dhamma/transition-to-noble-eightfold-path/;transition-to-noble-eightfold-path
232;18576;LD.EE.002;Is It Necessary for a Buddhist to Eliminate Sensual Desires?;;LD;https://puredhamma.net/living-dhamma/transition-to-noble-eightfold-path/buddhist-needs-to-eliminate-sensual-desires/;buddhist-needs-to-eliminate-sensual-desires
233;12021;LD.EE.003;Sīla, Samādhi, Paññā to Paññā, Sīla, Samādhi;;LD;https://puredhamma.net/living-dhamma/transition-to-noble-eightfold-path/sila-samadhi-panna-to-panna-sila-samadhi/;sila-samadhi-panna-to-panna-sila-samadhi
234;17264;PS.BB.009;Six Root Causes – Loka Samudaya (Arising of Suffering) and Loka Nirodhaya (Nibbāna);;PS;https://puredhamma.net/paticca-samuppada/paticca-samuppada-essential-concepts/six-root-causes-loka-samudaya-loka-nirodhaya/;six-root-causes-loka-samudaya-loka-nirodhaya
235;17829;LD.EE.004;Ye Dhammā Hetuppabhavā.. and Yam Kiñci Samudaya Dhammam..;;LD;https://puredhamma.net/living-dhamma/transition-to-noble-eightfold-path/ye-dhamma-hetuppabhava-and-yam-kinci-samudaya-dhammam/;ye-dhamma-hetuppabhava-and-yam-kinci-samudaya-dhammam
236;12527;LD.FF.001;Samādhi, Jhāna (Dhyāna), Magga Phala;;;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/;samadhi-jhana-magga-phala
237;11905;LD.FF.002;Samādhi, Jhāna, Magga Phala – Introduction;;LD;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/samadhi-jhana-magga-phala-introduction/;samadhi-jhana-magga-phala-introduction
238;22267;LD.FF.003;Vitakka, Vicāra, Savitakka, Savicāra, and Avitakka, Avicāra;;LD;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/vitakka-vicara-savitakka-savicara-avitakka-avicara/;vitakka-vicara-savitakka-savicara-avitakka-avicara
239;22039;LD.FF.004;Jhānic Experience in Detail – Sāmañ­ña­phala Sutta (DN 2);;LD;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/jhanic-experience-details/;jhanic-experience-details
240;12107;LD.FF.005;Ascendance to Nibbāna via Jhāna (Dhyāna);;LD;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/ascendance-to-nibbana-via-jhana-dhyana/;ascendance-to-nibbana-via-jhana-dhyana
241;11957;LD.FF.006;Pannāvimutti – Arahanthood without Jhāna;;LD;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/pannavimutti-arahanthood-without-jhana/;pannavimutti-arahanthood-without-jhana
242;12469;LD.FF.007;Mundane versus Supramundane Jhāna;;LD;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/mundane-supramundane-jhana/;mundane-supramundane-jhana
243;14091;LD.FF.008;Nirōdha Samāpatti, Phala Samāpatti, Jhāna, and Jhāna Samāpatti;;LD;https://puredhamma.net/living-dhamma/samadhi-jhana-magga-phala/nirodha-samapatti-phala-samapatti-jhana-and-jhana-samapatti/;nirodha-samapatti-phala-samapatti-jhana-and-jhana-samapatti
244;10784;LD.GG.001;Mental Body – Gandhabba;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/;mental-body-gandhabba
245;10468;LD.GG.002;Our Mental Body – Gandhabba;;LD;https://puredhamma.net/living-dhamma/our-mental-body-gandhabba/;our-mental-body-gandhabba
246;12141;LD.GG.003;Gandhabba State – Evidence from Tipiṭaka;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/gandhabba-state-tipitaka-evidence/;gandhabba-state-tipitaka-evidence
247;32724;LD.GG.004;Antarābhava and Gandhabba;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/antarabhava-and-gandhabba/;antarabhava-and-gandhabba
248;16163;LD.GG.005;Ānantarika Kamma – Connection to Gandhabba;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/anantarika-kamma-gandhabba/;anantarika-kamma-gandhabba
249;10694;LD.GG.006;Mental Body (Gandhabba) – Personal Accounts;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/mental-body-gandhabba-personal-accounts/;mental-body-gandhabba-personal-accounts
250;12348;LD.GG.007;Abnormal Births Due to Gandhabba Transformations;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/abnormal-births-due-to-gandhabba-transformations/;abnormal-births-due-to-gandhabba-transformations
251;50925;LD.GG.008;Āhāra – Food for the Mental Body;;;https://puredhamma.net/ahara-food-for-the-mental-body/;ahara-food-for-the-mental-body
252;11309;LD.GG.009;Micchā Diṭṭhi, Gandhabba, and Sōtapanna Stage;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/miccha-ditthi-gandhabba-sotapanna-stage/;miccha-ditthi-gandhabba-sotapanna-stage
253;11511;LD.GG.010;Working of Kammā – Critical Role of Conditions;;LD;https://puredhamma.net/living-dhamma/mental-body-gandhabba/working-of-kamma-critical-role-of-conditions/;working-of-kamma-critical-role-of-conditions
254;;LD.HH.001;Nāma & Rūpa to Nāmarūpa;;;;
255;;LD.II.001;Mental Aggregates;;;;
256;;LD.JJ.001;What is Sanna (Perception)?;;;;
260;;LD.KK.001;What Is Vedana (Feelings);;;;
263;;LD.LL.001;Saṅkhāra;;;;
268;;LD.MM.001;Viññāna Aggregate;;;;
272;;LD.NN.001;Sakkāya Diṭṭhi;;;;
273;17946;IS.CC.006;Do I Have “A Mind” That Is Fixed and “Mine”?;;IS;https://puredhamma.net/is-there-a-self/do-i-have-a-mind-that-is-fixed-and-mine/;do-i-have-a-mind-that-is-fixed-and-mine
274;;LD.OO.001;Nāmarūpa Formation;;;;
276;103;DS.AA.000;Dhamma and Science;;DS;https://puredhamma.net/dhamma-and-science/;dhamma-and-science
277;1044;DS.AA.001;Dhamma and Science – Introduction;;DS;https://puredhamma.net/dhamma-and-science/dhamma-and-science-introduction/;dhamma-and-science-introduction
278;103;DS.AA.002;Good Explanations – Key to Weeding Out Bad Versions of Dhamma;;DS;https://puredhamma.net/dhamma-and-science/dhamma-and-science/;dhamma-and-science
279;23860;DS.BB.001;Origin of Life;;DS;https://puredhamma.net/dhamma-and-science/origin-of-life/;origin-of-life
280;23773;DS.BB.002;Origin of Life – There is No Traceable Origin;;DS;https://puredhamma.net/dhamma-and-science/origin-of-life/origin-of-life-no-traceable-origin/?highlight=Origin%20of%20Life%20%E2%80%93%20There%20is%20No%20Traceable%20Origin;origin-of-life-no-traceable-origin
281;23812;DS.BB.003;Human Life – A Mental Base (Gandhabba) and a Material Base (Cell);;DS;https://puredhamma.net/dhamma-and-science/origin-of-life/human-life-gandhabba-and-cell/;human-life-gandhabba-and-cell
