pdpn,status,summary_path,audio_url,video_url,telegram_url,spotify_url,youtube_url,source_audio_filename,source_video_filename,summary_sha256,audio_sha256,video_sha256,audio_bytes,video_bytes,notes
TL.EE.011,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/033_TL.EE.011/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/033_TL.EE.011/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,31daed851c6bb501a4c95af633e134f47a440d6a847360b210d31cefde11c8ef,ea0c6569763f22bed5626cf210ae712ee622309f156cb6d23482d0b8edfc0328,49086999,65248722,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.EE.012,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/034_TL.EE.012/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/034_TL.EE.012/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,7add8ac1c3949c868908f67577fb904efe910077c50c53743169352a6d778df2,0cc06bb27c44177c76bbfcf4dfbc0fd5260c22d0a2098031fefa7f799feeb515,41815014,70214538,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.FF.002,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/035_TL.FF.002/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/035_TL.FF.002/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,c611ab9a55e3a2e3c2355e668de9c6201cc841017dd5b3f84eca4cdd2c56671a,968fe2d560c7c578df770be7feb2443d284134cc8b525ce4417c4fb925c575dd,50513675,65306921,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
DS.BB.006,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/036_DS.BB.006/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/036_DS.BB.006/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,fee91ba81efa808eaadab6ef3034cef3308657dd7c0f28f0258da195fa0288e7,91d5decea82c2cec92d81fefb37f26bc8bc8621804fcdf3781c7ece3763ecb78,57844783,32829696,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.FF.003,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/037_TL.FF.003/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/037_TL.FF.003/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,0940056835b9622e84da915a0fa944b246ff2c8e6ba97ffcc6e3aa01bf7a90ef,3ea7f02c6b453528f0771ca32e9b46d51111f08ebdfebd96cf108fb708ad5247,34584748,69931348,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.FF.004,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/038_TL.FF.004/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/038_TL.FF.004/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,b44a2435cc0aed1bdece623c7ba10dca05a5d55269ac6a8dfc0c2693d9993fe4,747920050278b69f71e7bd8e6dbb84d0552b517bfcc1ec740329566f302d3931,35056362,17527175,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.002,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/039_TL.GG.002/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/039_TL.GG.002/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,912be493e3b4cba997ccaa7028df196af8f798f232358c5817722fa28aef9992,17811dbff50254f0a9d687ed1f7b4737b2220fe01408b1f4fb785db41f70c191,30813053,61634593,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.003,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/040_TL.GG.003/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/040_TL.GG.003/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,d59adce3f17300c4a4c275ea626ec6ccf254d1700a28455d51f3896312dee536,62b7519dcfe1a4fd4d741661e49cc3f1f8c531393faf3b67cbe90e5097524e25,37322942,65592601,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.004,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/041_TL.GG.004/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/041_TL.GG.004/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,4bc81c095e85ec7db99594a19cb8a763bfbfc03882a3ac5366acd3f99e14735f,d64c546906d9648e8d911d13ae511ac1a14bf047f91ba780a0d850f621feab3b,37010564,56278245,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.005,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/042_TL.GG.005/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/042_TL.GG.005/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,ce664f29c803ead1c1e4c34a8c7a9eb3d1142ca406389f6f728b389bae01f993,2c02e6ebfa1ec05e2616ef40dce40557870510d0b56296c6dae2334e51cc4a64,45084468,21884328,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.006,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/043_TL.GG.006/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/043_TL.GG.006/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,b709adfc891e97f8d2e3a4f01cc020c5b27a1fadf52c76e48036f6b8642e9d6b,b543189440a9a7c26e339b3e23d869a0962f2c6873ace5edc707b9be9ee55814,54846513,19690598,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.007,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/044_TL.GG.007/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/044_TL.GG.007/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,78970fe1ef1166c35dfae69622869da57d80e693bc5571f2ad6bcadb7655e380,163f69fb6349944c1b920a9dcb9976e36bbd4564c5bd8256bcf6eeae9c20c98d,36916321,27682362,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.008,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/045_TL.GG.008/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/045_TL.GG.008/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,49fe8ec63c600c5caf75aa7242a09d786f83c39c3ffe4a771429fc2928c460c3,d6d988685a2954a54d958d6e41febeb08da40c7788b2d66186e91f77214fccfb,49712502,25025728,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
TL.GG.009,approved,,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/046_TL.GG.009/pt-BR/audio.m4a,https://pub-bd56cac1d526432981a10bed4c410f9c.r2.dev/derived-media/046_TL.GG.009/pt-BR/video.mp4,,,,audio.m4a,video.mp4,,d02d1ff2e75ab8330f1307475227c3c1c5db564b94fa333e26666ba04aff65c3,04c98575ecbe777d4419ea2226448beefd410ade67bcfb056adb35d3f19c814e,34090840,20904211,audio/video-only; quiet public DEV; R2 key uses Abelha social order prefix NNN_PDPN
